Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ARIBINDA,-0.87,14.23,0,0,0,1.4,11.3,82.1,187.2,169.4,168.5,22.3,0,0
BAGASSI,-3.3,11.75,0,10.1,15.6,64.6,108.9,107.5,229.7,262.1,191.7,4.6,0,0
BAGUERA,-5.42,10.53,0,0,0,117.7,107.1,151.9,439.1,286.7,248.9,218.7,-9999,0
BANFORA AGRI,-4.77,10.62,0,0,63,28.1,142.1,92.6,245.3,245.8,196.4,166.5,13.4,21.3
BANI,-0.17,13.72,0,0,0,0,8.9,78,199.2,199.2,65.8,6.5,0,0
BARABOULE,-1.85,14.22,0,0,0,0,3.5,34.5,131.2,264.5,147.2,-19998,0,0
BARSALOGHO,-1.07,13.42,0,0,0,10.3,14.4,145.6,154.4,310.5,82.6,24.8,0,0.7
BATIE,-2.92,9.88,0,14.3,21.7,45.8,178.7,45,91.7,164.2,-29997,165.7,3,0
BEREBA,-3.68,11.62,0,0,0,36.4,43.4,22.6,319.7,202.8,146.9,17.7,0,0
BEREGADOUGOU,-4.73,10.75,0,0,25.2,69.8,153.5,167.8,217.1,178.2,108.9,95.2,56.4,12.4
BETARE,-1.37,11.43,0,12.7,0,82.6,120.6,82.1,280.7,280.3,234.6,56.9,0,0
BILANGA,-0.02,12.55,0,0,17.5,7.2,14.2,137.6,264.2,268,188.1,70.8,1.5,0
BOMBOROKUY,-3.98,13.05,0,0,0,36.5,41.8,122.1,83.2,311,74.3,-19998,0,0
BONDOUKUY,-3.77,11.85,0,0,2.7,74,56.5,97.9,201,173.7,195.1,75.3,19.8,0
BOTOU,2.05,12.67,0,8.7,0,19.8,53.6,84.3,178.6,176.6,140.7,0,0,0
BOULBI,-1.53,12.23,0,0,0,45.2,94.3,20.5,155.7,357.9,63,0,0,0
BOULSA,-0.57,12.65,0,0,1.6,44.4,31.1,68.1,189.5,265,219.6,19.3,0,0
BOURA,-2.5,11.05,0,0,2.2,52.5,119.6,103.1,231,268.8,185.2,67.2,0,3.2
BOUROUM,-0.65,13.6,0,0,0,25.9,10,105.2,118.4,248.1,11.5,0,0,0
BOURZANGA,-1.55,13.68,0,0.4,0,13.8,52.6,75.6,127.1,260.7,42.9,15.5,0,0
BOUSSE,-1.88,12.67,0,0,0,19.3,41.6,89.2,238.6,253.1,151.8,10.3,0,0
DAKIRI,-0.23,13.28,0,0,0,12.4,14.7,93.7,178.3,315,109.3,8,0,0
DANO,-3.07,11.15,0,0,6.9,91.7,156.1,28.1,282.6,225.4,176.7,93.8,26.3,3.8
DI-SOUROU,-3.42,13.17,0,0,0,12.1,32.7,155.5,118.2,354.9,157.2,62.5,8.1,0
DIAPAGA,1.78,12.07,0,18,0,13.5,62.9,121.1,131.1,161.6,172.4,90.7,0,0
DIDYR,-2.62,12.57,0,0,0,5.7,46.8,68.2,189.4,242.9,140.7,13,4.5,0
DIEBOUGOU,-3.25,10.97,0,171.2,3,66,117.8,104.2,354.8,299.9,183.1,119,18.8,9
DISSIN,-2.93,10.93,0,9.3,25,94.5,95.9,85,283.6,231.3,241.5,81.3,9.7,2
DJIBO,-1.62,14.1,0,0,0,3.5,26.5,103.8,133.5,196.4,133.4,1.6,0,0
FARA,-2.77,11.52,0,0,13.2,31.4,65.9,49.9,171.7,352.9,164.2,13.1,0,9.7
GARANGO,-0.57,11.8,0,0.6,0,25.7,72.1,41.4,174.1,240.6,179,37.6,0,0
GAYERI,0.48,12.65,0,0,0,0,45.5,180,202.5,411.5,197,10,0,0
GORGADJI,-0.52,14.03,0,0,0,11,0,51.1,237.8,387.2,103.8,0,0,0
GOROM-GOROM,-0.23,14.45,0,0,0,6,53,55.5,99,323,93.5,6.5,0,0
GOURCY,-2.35,13.2,0,0,0,25,31,112.5,144.5,355.5,192,35.5,0,0
GUILONGOU,-1.3,12.62,0,0,0,4.6,62.3,97.1,217.6,296.3,132.8,22.4,0,0
HOUNDE,-3.52,11.48,0,19.3,6.7,49,37.5,68.5,274,195.4,82.6,9.9,22,0
IMANSGHO,-2.33,12.43,0,0,0,20.4,29.8,76.2,184.9,284.2,144.3,-29997,-9999,0
KAMBOINCE,-1.55,12.47,0,1.8,0,20.1,46.9,45.4,240.1,253.5,122.7,69.4,0,0
KAMPTI,-3.47,10.13,0,11.9,39.1,38.6,114.2,102.6,78.2,68.7,109.5,62,28.9,2.9
KANTCHARI,1.52,12.47,0,0,0,9.3,89.6,24.8,116.9,152.3,181.4,17.9,0,0
KASSOUM,-3.3,13.08,0,0,0,54.1,12.4,152.2,142.3,257.1,201.8,29.7,9.9,0
KAYA,-1.08,13.1,0,0,0,28,20.7,79.5,265.4,304,112.5,58.7,0,2
KIEMBARA,-2.72,13.25,0,0,0,3.1,57.5,128.6,271.3,268.7,130.1,25.2,0,0
KINDI,-2.03,12.43,0,0,0,0,29.5,66.9,176.1,281.5,157.3,10.5,3.2,0
KOKOLOGHO,-1.88,12.18,0,6.1,0,66.4,35.7,32.4,234.9,308.9,214.9,3,12.8,0
KOMIN-YANGA,0.13,11.73,0,0,25.2,6.5,178.2,105.5,108.4,259,190.9,46.6,13.8,0
KORSIMORO,-1.07,12.82,0,0,0,0,14.5,21,118.5,238.5,107.3,22.5,0,0
KOSSOUGOUDOU,-0.23,12.93,0,0.2,6.1,21.4,7.1,90.4,192.8,299,283.5,26.7,0,0
KOUDOUGOU,-2.37,12.27,0,1.9,0,22.4,45.2,29.7,194.1,230.4,118.3,23.9,20.7,0
KOUKA,-4.33,11.9,0,0,0,67.8,139,91.4,243.3,210.5,136.9,42.7,4.7,0
KOUMBIA,-3.7,11.23,0,2.3,1,38,140.2,26.8,424,287.5,149.1,118.4,-19998,0
KOUPELA,-0.35,12.18,0,0,0,34.7,63.9,41.3,180.8,296.5,193.2,37.9,0,0
KOUROUMA,-4.8,11.62,0,0,0,113.4,57.8,107.9,316.5,219.6,132.5,45.6,3.5,0
LEO,-2.1,11.1,0,0,4,49.2,114.6,120.9,163.6,235.1,109,8.8,0,0
LERI,-3.38,12.77,0,0,0,8.6,50.5,118.1,131.8,247.1,141.5,25.4,6,0
LOUMANA,-5.35,10.58,0,0,0,62,130.6,153.2,387.6,307.2,274.5,121.4,24.8,0
MAHADAGA,1.75,11.7,0,46.3,0,34.1,107.2,97,208.8,121,148.8,37.8,0,0
MANE,-1.33,12.98,0,0,0,23.3,27.2,91.2,172.2,307.4,126.4,48.5,0,7.5
MANGA,-1.07,11.67,0,0,0,22.1,91.7,73.6,200.2,279.1,211,25.2,0,0
MANGODARA,-4.35,9.9,0,0,18.5,-29997,-29997,119,134,209,234,145.5,21,0
MARKOYE,0.07,14.63,0,0,0,4.2,7.4,7.2,159.8,230.5,65.4,0,0,0
MATIAKOUALY,1.03,12.37,0,0,0,8.7,44.3,77.2,139.8,164.9,134.1,32.2,0,0
MOGTEDO,-0.83,12.28,0,0,0,3.2,61,16.5,278.7,231.6,185.6,11,0,0
N'DOROLA,-4.82,11.77,0,0,0,67.1,103.8,95.9,278.9,198,248.8,22,27.1,0
NAMOUNOU,1.7,11.87,0,34,0,9.6,63.4,108.1,172.8,-29997,181.4,92.1,0,0
NASSO,-4.43,11.2,0,0,6.2,90.6,122.6,36.5,-29997,252.3,96.2,0,0,0
NIANGOLOKO,-4.92,10.27,0,0,30.2,72.7,118.5,141.1,198,219.6,244.8,67.9,23,0
NIAOGHO,-0.77,11.77,0,0,0,31.5,33.5,76,188.5,167,248,33,0,0
NOUNA,-3.87,12.73,0,0,0,68,57.1,171.4,159,412.1,158,29,0,0
ORODARA,-4.92,10.98,0,28.6,45.1,95,161.9,110.5,357.4,412.5,231.8,87.6,66.2,0
OUARGAYE,0.02,11.53,0,0,49.3,18.4,121.7,95.3,161.4,288.1,178.9,103.2,0,0
OUARKOYE,-3.67,12.08,0,0,0,23.3,112.9,123.2,306.6,212.8,213.4,25.5,0,0
OUO,-3.83,10.4,0,19.6,8.8,100.2,110.5,103.2,174.7,128.8,243.1,-29997,0,0
PABRE,-1.57,12.52,0,0,0,37.2,52,70.2,113,244.1,133.6,12.6,0,0
PAMA,0.7,11.25,0,0,0,52.5,243,13.3,137.2,134.2,189.1,59.6,0,0
PIELA,-0.13,12.7,0,8.5,6.5,0,40.7,45.9,137.8,229.5,105.9,23.2,0,0
POBE,-1.77,13.9,0,0,0,4,1,71,114.4,171.2,68.6,31.9,0,0
