Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
ABALA,3.43,14.95,0,0,0,0,23.2,22.2,59.8,74.3,41.5,18,0,0
ABALA.BRIGADE,3.43,14.95,0,0,0,0,6.5,50.4,0.3,73.2,48.3,11,0,0
ABALAK,6.25,15.47,0,0,0,7.5,9,15.8,105.3,56,24.2,25.1,0,0
ADERBISSINAT,7.85,15.62,0,0,0,0,0,31.1,9,79.5,28.5,3.8,0,0
ADJE KORIA,6.78,14.33,0,0,0,0,74.2,56.3,52.8,170.8,17.8,63.4,0,0
AGADEZ,7.98,16.97,0,0,0,0,9.3,0.2,20.6,69.7,56.4,4,0,0
AGUIE,7.77,13.50,0,0,0,0,70.7,33.7,83.5,93.6,72.8,9.4,0,0
AINOMA,2.3,12.87,0,0,0,0,0,81,149,314,-29997,0,0,0
AKOKAN,1.58,13.92,0,0,0,0,0,10,0,8.7,8,0,0,0
ARLIT,7.33,18.50,0,0,0,0,0,0,0,41,10,1,0,0
ARZERORI(NOMA,5.92,14.15,0,0,0,0,0,-9930,120,48.2,0,0,0,0
AYOROU,0.85,14.75,0,0,0,1.2,4,4.5,221,72.5,87,57,0,0
AYOROU.GEND.,0.85,14.95,0,0,0,0,0,80,144,66.5,77,56,0,0
B.NGAOURE(AG),2.883,13.067,0,0,0,-9999,-29997,-19998,132.9,201.2,133.6,-29997,0,0
BADEGUICHIRI,5.37,14.52,0,0,0,0,0,146.8,18,-9959,66,40,0,0
BAGAROUA,3.30,14.12,0,0,0,0,36,28,21.1,88.7,69.2,19.2,0,0
BAKIN-BIRGI,8.78,14.27,0,0,0,0,-29997,73.9,98.6,74.2,-19992.4,-29997,0,0
BALLEYARA,2.97,13.77,0,0,0,0,7.3,87.3,55.3,186.8,32.4,10.5,0,0
BALLEYARA . A,2.97,13.77,0,0,0,0,6,46,78.8,167.7,-9948.5,-29997,0,0
BANDE HAOUSSA,8.88,13.18,0,0,0,0,60,20.9,-9888.5,104.5,-29997,-29997,0,0
BANGUI,6.10,13.72,0,0,0,0,30,-29997,67.6,90.6,-29997,-29997,0,0
BANIBANGOU,2.50,15.05,0,0,0,0,28,72.5,43.5,96.5,45.5,12,0,0
BANKILARE,0.72,14.57,0,0,0,0,0,78.6,78.7,91.4,45.7,20.5,0,0
BELBEDJI,8.07,14.65,0,0,0,0,0,35,26.5,67.3,9,8.5,0,0
BENGOU,3.57,11.98,0,0,0,9.6,19.1,239.4,218,223.4,142.1,34.4,0,0
BERMO,6.684167,14.674167,0,0,0,0,9.5,7.1,27.8,110.3,15,41.9,0,0
BEYLANDE,2.87,12.75,0,0,0,0,7.6,175.4,133.7,348.4,117.7,28.9,0,0
BILMA,12.92,18.68,0,0,0,0,0.5,0,4.6,9.4,0,0,0,0
BIRNI NGAOUR,2.90,13.08,0,0,0,0,5,53,124,193.2,121.5,73,0,0
BIRNI NKONNI,5.28,13.80,0,0,0,0,12,61.2,79.9,117.7,59.4,27.8,0,0
BONKOUKOU,3.07,14.00,0,0,0,0,11.4,111.5,104.5,108.5,86.5,38,0,0
BOSSO,13.32,13.72,0,0,0,0,2.1,0,29.9,184.6,34.2,0,0,0
BOUTTI,11.33,13.65,0,0,0,0,10,23.2,74,32.4,7.1,0,0,0
BOUZA,6.05,14.42,0,0,0,0,1.9,57.6,123,101.1,66.3,16.7,0,0
CHADAKORI,6.98,13.73,0,0,0,0,12.9,40.7,63,94.2,64.2,9,0,0
CHETIMARI,12.50,13.30,0,0,0,0,4.8,13.6,97.7,122.3,57.7,0,0,0
DAIKAINA,1.48,14.18,0,0,0,0,13,72.3,47.1,123.2,30.8,31,0,0
DAKORO,6.75,14.52,0,0,0,0,10,38.5,82,130.5,34.5,86,0,0
DAMAGARAM-TAKAYA,9.47,14.17,0,0,0,0,7.5,24.1,37.2,98.7,31.7,0,0,0
DAMANA,3.067,13.900,0,0,0,6,8.5,67,51.6,187.6,68.2,0,0,0
DAN BARTO,8.33,13.17,0,0,0,0,0,79,135.9,156.6,24.6,0,0,0
DAN ISSA,7.25,13.17,0,0,0,5,19.6,38.7,174.1,148.9,108.4,8.5,0,0
DAN MEIRO,7.32,13.88,0,0,0,12.1,4.4,32.5,68.3,-29997,-29997,-9999,0,0
DAN TCHIAO,9.08,12.87,0,0,0,0,-19976,-19955,81,-29997,0,0,0,0
DANGONA,5.02,14.27,0,0,0,0,16.3,155.2,9.8,148.5,120,18.5,0,0
