STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
BAMAKO SENOU,0.2,0.0,0.0,1.6,65.0,153.6,283.4,284.6,157.8,51.2,0.0,0.0
BAMAKO VILLE,0.0,0.1,0.0,0.5,134.4,137.3,207.0,233.1,157.8,4.4,0.0,0.0
DIDIENI,0.0,0.0,0.0,0.0,7.0,47.3,230.3,314.9,107.1,0.0,0.1,0.0
DIOILA,0.0,0.0,0.0,0.0,32.3,48.4,231.0,242.9,149.1,21.6,0.0,0.0
DOGO  BOUGOUNI,0.0,1.0,21.1,22.8,63.3,105.7,313.3,249.6,229.6,124.9,0.0,0.0
KADIOLO,0.0,5.2,0.0,53.3,133.9,159.4,162.8,550.7,188.1,210.9,5.2,0.0
KATIBOUGOU,0.0,0.5,2.7,0.0,106.7,145.0,183.3,211.9,158.0,19.0,0.0,0.0
KAYES,0.0,0.0,0.0,0.0,0.0,39.1,231.5,257.7,178.3,65.5,0.3,0.0
KENIEBA,0.0,0.0,0.0,0.4,2.8,159.8,178.9,359.0,287.2,73.4,0.1,0.0
KITA,2.7,0.0,0.0,12.8,44.4,123.6,172.7,328.9,272.8,23.1,0.0,0.0
KITA PAR,0.0,0.0,0.0,13.3,70.3,134.5,174.5,151.8,111.7,13.7,0.0,0.0
KOLONDIEBA,0.0,2.4,32.7,7.6,159.1,194.9,314.0,291.1,247.4,82.3,0.0,0.0
KOUTIALA,0.0,0.0,2.2,10.0,83.6,62.6,251.7,294.6,164.7,55.1,0.0,0.0
MAHINA,0.0,0.0,0.0,0.0,0.4,69.8,129.4,351.9,241.7,34.7,0.0,0.0
MOPTI,0.0,1.0,0.0,0.0,9.0,78.8,64.1,263.1,91.9,9.7,0.0,0.0
NARA,0.0,0.0,0.0,0.0,3.0,53.9,87.4,305.5,79.1,10.2,0.0,0.0
NIORO DU SAHEL,0.0,0.0,0.0,0.0,15.9,21.6,147.3,268.3,192.0,2.0,0.0,0.0
SAN,0.0,0.0,0.8,0.0,23.0,147.5,164.3,218.4,218.9,23.1,0.0,0.0
SEGOU,0.0,3.0,9.0,0.0,9.6,112.2,98.4,254.6,173.0,0.0,0.0,0.0
SELINGUE,0.0,0.0,6.1,11.3,97.7,148.2,165.0,248.5,223.4,42.3,9.2,0.0
SIKASSO,0.0,0.0,12.8,22.7,164.4,170.2,349.4,439.1,431.2,98.1,0.0,0.0
YELIMANE,0.0,0.0,0.0,0.0,0.1,38.0,169.3,125.1,96.3,11.2,0.0,0.0
