STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
AGADEZ,0.0,0.0,0.0,0.0,7.8,39.9,39.3,113.4,39.8,0.0,0.0,0.0
AYOROU_PT,**,0.0,0.0,0.0,8.5,44.9,130.0,468.2,**,16.2,0.0,0.0
BAGAROUA,**,**,**,**,9.5,9.2,106.4,171.2,**,24.7,0.0,0.0
BANA PLUVIO,0.0,0.0,0.0,24.0,27.0,54.0,146.0,185.0,117.0,4.5,0.0,0.0
BANKILARE,0.0,0.0,0.0,0.0,4.0,59.7,97.0,259.1,**,**,0.0,0.0
BELBEDJI,**,0.0,0.0,0.0,3.0,10.0,117.5,234.8,**,**,0.0,0.0
BENGOU,0.0,0.0,0.0,0.0,44.0,116.5,183.2,296.0,174.0,9.0,0.0,0.0
BENGOU_INRAN,**,**,**,61.0,31.0,91.0,146.0,270.5,186.1,7.5,0.0,0.0
BERMO,0.0,0.0,0.0,0.0,1.1,13.0,49.5,175.6,117.5,11.0,0.0,0.0
BILMA,0.0,0.0,0.0,0.0,0.0,10.1,0.2,8.4,0.0,0.0,0.0,0.0
BIRNI N'GAOURE,0.0,0.0,0.0,0.0,21.0,58.6,149.0,523.1,157.7,0.0,0.0,0.0
BIRNI N'KONNI,0.0,0.0,0.0,8.4,20.4,82.7,253.6,217.2,176.9,38.6,0.0,0.0
BOSSO,**,0.0,**,0.0,**,15.0,97.5,148.0,**,**,0.0,0.0
DAKORO,0.0,0.0,0.0,0.0,0.0,16.6,123.0,243.1,57.8,22.0,0.0,0.0
DAMAGARAM-TAKA,0.0,0.0,0.0,0.0,0.0,14.0,219.3,96.0,**,**,0.0,0.0
DIFFA,0.0,0.0,0.0,0.0,0.0,48.0,156.9,225.0,70.2,1.2,0.0,0.0
DIOUNDIOU,0.0,0.0,0.0,0.0,25.7,53.0,168.2,283.0,171.4,15.0,0.0,0.0
DOGONDOUTCHI,0.0,0.0,0.0,0.0,57.0,76.1,177.5,136.8,82.2,58.0,0.0,0.0
DOLE_GAYA,**,**,**,39.0,0.0,132.0,340.1,376.0,151.8,60.0,0.0,0.0
DOSSO,0.0,0.0,0.0,2.8,8.2,76.7,217.6,301.7,171.6,17.5,0.0,0.0
DUNGASS,0.0,0.0,0.0,0.0,3.6,21.6,196.5,263.3,105.3,**,0.0,0.0
FABIDJI,0.0,0.0,0.0,0.0,0.0,66.8,88.2,260.2,77.9,21.6,0.0,0.0
FALMADO,**,**,**,**,16.5,98.0,193.0,319.0,184.0,**,0.0,0.0
FALMEY,0.0,0.0,0.0,0.0,18.0,120.0,258.0,264.5,114.0,25.0,0.0,0.0
FILINGUE,0.0,0.0,0.0,0.0,21.0,42.5,181.0,131.6,124.0,32.0,0.0,0.0
GAYA,0.0,0.0,0.0,34.0,46.2,107.2,203.7,461.5,181.4,56.4,0.0,0.0
GAYA.AGRI,**,**,**,24.0,38.5,60.2,207.5,359.5,129.5,17.0,0.0,0.0
GOTHEYE,0.0,0.0,0.0,0.0,0.0,72.2,233.0,302.0,165.8,14.0,0.0,0.0
GOURE (PTT),0.0,0.0,0.0,0.0,2.9,60.3,155.9,173.2,71.6,24.1,0.0,0.0
GUECHEME,0.0,0.0,0.0,0.0,0.0,58.7,249.0,276.7,132.7,**,0.0,0.0
HARIKANASSOU,0.0,0.0,0.0,0.0,6.5,32.0,156.0,276.0,115.0,33.0,0.0,0.0
IBOHAMANE,0.0,0.0,0.0,0.0,13.4,17.1,139.2,188.3,132.4,18.5,0.0,0.0
KAKASSI,0.0,0.0,0.0,0.0,0.0,72.0,155.0,303.0,83.0,11.0,0.0,0.0
KALFOU,0.0,0.0,0.0,0.0,45.0,73.5,117.9,192.2,138.0,6.0,0.0,0.0
KARA - KARA,0.0,0.0,0.0,0.0,3.5,101.5,91.0,165.5,112.0,47.0,0.0,0.0
KARGUI BANGOU,0.0,0.0,0.0,0.0,4.5,41.0,99.5,292.0,180.0,54.0,0.0,0.0
KEITA,0.0,0.0,0.0,0.0,29.0,16.4,192.0,313.1,192.2,40.0,0.0,0.0
LABA(VILLAG),0.0,0.0,0.0,0.0,6.0,15.0,124.0,238.7,152.0,42.0,0.0,0.0
LOGA,0.0,0.0,0.0,0.0,25.2,42.6,191.1,175.6,190.5,39.2,0.0,0.0
MAGARIA,**,0.0,0.0,0.0,20.7,39.4,320.7,259.5,114.7,46.1,0.0,0.0
MALBAZA,0.0,0.0,0.0,0.0,69.6,60.0,135.9,269.2,54.2,17.2,0.0,0.0
MARADI AERO,0.0,0.0,0.0,0.0,26.9,87.3,215.3,238.4,109.8,24.4,0.0,0.0
MATAMAYE,0.0,0.0,0.0,0.0,0.0,50.0,275.7,248.4,79.0,**,0.0,0.0
MOKKO,0.0,0.0,0.0,0.0,14.0,23.5,115.5,84.0,112.0,37.0,0.0,0.0
