STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
ABECHE,0.0,0.0,0.0,0.0,7.0,52.5,101.3,172.0,54.2,0.0,0.0,0.0
ADRE,0.0,0.0,0.0,3.5,36.5,133.2,212.2,221.5,41.1,0.0,0.0,0.0
AM-TIMAN,0.0,0.0,0.0,0.0,1.4,100.1,185.5,135.2,78.7,4.0,0.0,0.0
ATI,0.0,0.0,0.0,0.0,6.0,41.3,33.2,20.0,8.5,1.5,0.0,0.0
BA-ILLI,0.0,0.0,0.0,0.0,33.8,132.5,217.5,120.5,70.0,0.0,0.0,0.0
BAIBOKOUM,0.0,0.0,0.5,47.0,113.0,205.5,465.1,279.5,305.5,147.7,4.5,0.0
BEBEDJIA,0.0,0.0,6.0,26.8,65.1,136.6,145.3,234.8,128.5,4.0,0.0,0.0
BILTINE,0.0,0.0,0.0,0.0,5.0,9.8,0.0,50.6,0.0,0.0,0.0,0.0
BITKINE,0.0,0.0,0.0,13.3,49.5,153.9,254.6,171.6,72.9,4.3,0.0,0.0
BOKORO,0.0,0.0,0.0,23.0,6.6,73.6,131.0,174.7,67.3,23.4,0.0,0.0
BONGOR PREFEC.,0.0,0.0,0.0,8.5,79.5,23.2,145.3,234.8,128.5,23.8,0.0,0.0
DADOUAR,0.0,0.0,0.0,4.4,31.0,125.7,194.8,288.3,38.9,27.4,0.0,0.0
DELI,0.0,0.0,7.0,18.0,171.5,109.3,235.2,197.0,281.1,56.0,0.0,0.0
DOBA PREFECTUR,0.0,0.0,0.0,27.5,58.5,224.0,364.0,187.9,439.0,0.0,0.0,0.0
DONIA,0.0,0.0,0.0,46.4,119.7,207.2,462.0,233.4,333.7,21.5,0.0,0.0
FIANGA CFPA,0.0,0.0,0.0,25.9,105.8,117.1,197.4,208.1,191.5,22.0,0.0,0.0
GORE,0.0,0.0,8.4,123.4,122.0,136.6,422.9,321.2,382.8,59.3,0.5,0.0
GUELENDENG,0.0,0.0,0.0,0.0,51.6,150.7,101.8,219.2,83.0,0.0,0.0,0.0
KELO CT,0.0,0.0,0.0,25.3,125.3,244.2,34.0,284.8,277.3,34.5,34.5,0.0
KIM,0.0,0.0,0.0,13.8,56.1,180.5,147.4,296.0,221.5,11.0,0.0,0.0
KOUMRA CT,0.0,0.0,0.0,73.9,73.8,217.5,317.7,313.1,219.3,39.5,0.0,0.0
KYABE CT,0.0,0.0,0.0,90.5,110.9,132.9,277.6,310.0,110.7,33.5,0.0,0.0
MANGALME,0.0,0.0,0.0,0.0,5.0,142.0,100.0,155.5,46.5,8.0,0.0,0.0
MAO,0.0,0.0,0.0,0.0,0.0,48.0,82.5,54.1,19.3,0.0,0.0,0.0
MELFI,0.0,0.0,0.0,8.4,66.2,222.2,165.9,268.9,88.9,12.6,0.0,0.0
MONGO,0.0,0.0,0.0,0.0,6.4,88.8,157.1,135.2,34.5,4.5,0.0,0.0
MOUNDOU METEO,0.0,0.0,0.0,20.6,178.6,311.3,219.3,199.7,296.1,51.5,1.9,0.0
MOUSSORO,0.0,0.0,0.0,0.0,0.0,6.1,181.7,179.0,4.5,0.0,0.0,0.0
N'DJAMENA AERO,0.0,0.0,0.0,0.0,27.8,49.1,153.9,134.4,104.1,0.0,0.0,0.0
N'DJAMENA CHAG,0.0,0.0,0.0,2.7,28.0,74.0,188.0,109.0,51.0,31.0,0.0,0.0
PALA AERO,0.0,0.0,0.0,0.0,34.9,118.5,205.0,181.0,234.2,53.1,0.0,0.0
SARH METEO,0.0,0.0,0.0,54.2,214.3,195.4,400.5,199.7,150.3,0.0,0.0,0.0
