Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
IRIBA,22.25,15.12,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MAO,15.32,14.12,0,0,0,2.7,0,34.8,102.8,37.2,5.6,0,0,0
BILTINE,20.92,14.52,0,0,0,2,17.5,32,77.9,68.9,0,0,0,-29997
AMZOER,21.37,14.22,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
NGOURI,15.38,13.63,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
ATI,18.32,13.22,0,0,0,2,17,20.5,231.3,35.9,0,0,0,-29997
DJEDAA,18.58,13.52,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
OUMHADJ,19.7,13.3,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
ABECHE,20.85,13.85,0,0,0,0.4,4.2,28.5,167.2,38.8,0,0,0,0
ADRE,22.2,13.47,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
NDJAMENA ,15.03,12.13,0,0,0,0,9.6,136.8,204.8,75.5,4.4,0,0,0
TOURBA,15.3,12.87,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSAGUET,15.42,12.5,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KOUNDOUL,15.15,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BOKORO,17.05,12.38,0,0,0,21,24.5,38.1,147,30.5,0,0,0,-29997
DADOUAR,18.45,12.13,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MONGO,18.68,12.18,-29997,-29997,-29997,-29997,-19998,-9999,-19998,-29997,-29997,-29997,-29997,-9999
BARO,18.97,12.2,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
MANGALME,19.62,12.37,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
GOZBEIDA,21.42,12.23,0,0,1,26.1,74.5,105.7,203.4,197.7,2.5,0,0,-29997
AMDAM,20.48,12.77,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MANDALIA,15.25,11.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MASSENYA,16.17,11.4,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
MELFI,17.93,11.07,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BITKINE,18.22,11.98,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
ABOUDEIA,19.28,11.48,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
AMTIM,20.28,11.03,0,0,0,15.1,148,157.6,167.1,77,9.2,9.9,0,-29997
BILLIAM,15.25,10.58,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
BONGOR ,15.37,10.28,-29997,-29997,-29997,-29997,-29997,-9999,250.7,222.3,14.3,-29997,-29997,-29997
GUELENDE,15.55,10.92,0,0,0,13.3,122.7,78.6,135.7,133.7,56.5,0,0,-29997
BAILLI,16.43,10.52,0,0.7,15.6,28,150.8,202.9,177.8,188,40,0,0,0
BOUSSO,16.72,10.48,-29997,-29997,-29997,-9969.8,22.4,156.7,124.4,135.6,-29997,-29997,-29997,-29997
DAGUELA,18.45,10.73,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
HARAZEM,21.32,10.5,0,0,-29997,-9963.8,-29997,-9860,119.8,-29997,-29997,-29997,-29997,-29997
LERE,14.15,9.63,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
BADJE,14.58,9.15,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
PALA ,14.92,9.37,0,0,0,75.6,156.2,239.3,340.3,155.9,56.4,0,0,-29997
TORROCK,15.02,9.67,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
TIKEM,15.05,9.82,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
KAIROUAL,15.15,9.48,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
FIANGA ,15.13,9.93,0,0,10.4,59.2,181.4,115.5,320.5,200.5,-29997,-29997,-29997,-9999
KELO ,15.77,9.32,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
BERE,16.15,9.32,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DOHER ,16.28,9.05,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
LAI,16.3,9.4,0,0,0,121,53,174.5,221,-9877.6,-9996.6,-29997,-29997,-29997
GUIDARI,16.67,9.27,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997
DONOMA,16.92,9.23,-29997,-9985,10,33,113,149.5,-29997,-29997,-9990,-29997,-29997,-29997
TALIA,17.85,9.4,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-29997,-9999
SARH ,18.38,9.15,0,1.8,23.6,90.4,119.6,137.1,294.6,30.1,123.5,1.8,4.5,0
