STATION,Jan,F‚v,Mar,Avr,Mai,Jui,Jui,Ao–,Sep,Oct,Nov,D‚c
BAGASSI,0.0,**,**,**,**,**,**,**,**,**,**,**
BANFORA AGRI,0.0,0.0,**,**,**,**,**,**,**,**,**,**
BANI,0.0,0.0,**,**,**,**,**,**,**,**,**,**
BARSALOGHO,0.0,**,**,**,**,**,**,**,**,**,**,**
BATIE,0.0,**,**,**,**,**,**,**,**,**,**,**
BEREBA,**,**,11.0,**,**,**,**,**,**,**,**,**
BEREGADOUGOU,0.0,0.0,0.7,83.4,99.5,63.2,171.4,259.0,201.4,**,**,**
BETARE,0.0,12.4,**,**,**,**,**,**,**,**,**,**
BILANGA,0.0,**,**,**,**,**,**,**,**,**,**,**
BITOU,0.0,0.0,35.9,**,**,97.0,225.0,**,**,**,**,**
BOBO-DIOULASSO,0.0,1.2,22.2,65.2,74.2,83.5,169.3,294.0,137.1,**,**,**
BOGANDE,0.0,0.0,0.0,21.4,69.6,65.3,165.4,272.2,46.8,**,**,**
BONDOUKUY,0.0,0.0,2.1,**,**,**,**,**,**,**,**,**
BOROMO,0.0,0.0,7.7,42.3,93.5,95.4,258.7,280.9,157.6,**,**,**
BOTOU,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
BOULSA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
BOURA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
BOUSSE,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
BOUSSOUMA,0.0,0.0,0.0,**,**,34.2,**,**,**,**,**,**
DAKIRI,0.0,**,**,**,**,**,**,**,**,**,**,**
DEDOUGOU,0.0,0.0,0.0,11.8,19.9,124.9,249.2,183.8,154.4,**,**,**
DI-SOUROU,0.0,0.0,0.0,28.4,22.1,80.6,128.2,325.5,137.3,**,**,**
DIDYR,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
DISSIN,0.0,0.0,20.6,**,**,**,**,**,**,**,**,**
DORI,0.0,0.0,0.0,90.3,22.9,43.9,102.1,249.5,39.9,**,**,**
FADA N'GOURMA,0.0,0.0,7.6,139.9,28.8,135.0,202.6,212.3,59.1,**,**,**
FARA,0.0,0.0,**,**,**,**,**,**,**,**,**,**
GAOUA,0.0,0.0,6.7,60.4,161.0,92.3,178.9,229.5,185.1,**,**,**
GARANGO,0.0,0.0,13.9,**,**,**,**,**,**,**,**,**
GAYERI,**,**,0.0,**,**,**,**,**,**,**,**,**
GON-BOUSSOUGOU,0.0,0.0,38.3,**,**,**,**,**,**,**,**,**
GORGADJI,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
GOROM-GOROM,**,0.0,**,**,**,**,**,**,**,**,**,**
GUILONGOU,0.0,**,0.0,**,**,**,**,**,**,**,**,**
HOUNDE,0.0,0.0,25.0,**,**,**,**,**,**,**,**,**
KANTCHARI,**,**,0.0,**,**,**,**,**,**,**,**,**
KASSOUM,0.0,**,**,**,**,**,**,**,**,**,**,**
KAYA,0.0,**,**,**,**,**,**,**,**,**,**,**
KIEMBARA,0.0,**,0.0,**,**,**,**,**,**,**,**,**
KINDI,0.0,0.0,**,**,**,**,**,**,**,**,**,**
KOKOLOGHO,0.7,0.0,**,**,**,**,**,**,**,**,**,**
KOMIN-YANGA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
KOSSOUGOUDOU,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
KOUDOUGOU,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
KOUKA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
KOUMBIA,0.0,0.0,8.8,**,**,**,**,**,**,**,**,**
KOUPELA,0.0,0.0,2.0,**,**,**,**,**,**,**,**,**
KOUROUMA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
LEGMOIN,0.0,0.0,111.6,**,**,**,**,**,**,**,**,**
LEO,0.0,0.0,**,**,**,**,**,**,**,**,**,**
LERI,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
MANGODARA,0.0,0.0,**,**,**,**,**,**,**,**,**,**
MATIAKOUALY,0.0,0.0,**,**,**,**,**,**,**,**,**,**
NAMOUNOU,0.0,0.0,**,**,**,**,**,**,**,**,**,**
NIANGOLOKO,0.0,0.0,43.1,65.9,68.4,82.1,135.7,198.9,223.4,**,**,**
NIAOGHO,0.0,0.0,9.0,**,**,**,**,**,**,**,**,**
NOBERE,0.0,**,**,**,**,64.4,**,**,**,**,**,**
ORODARA,0.0,3.6,61.6,**,**,**,**,**,**,**,**,**
OUAGADOUGOU AE,0.0,0.0,10.1,30.9,73.0,38.3,182.0,268.6,165.0,**,**,**
OUAHIGOUYA,0.0,0.0,0.0,6.1,18.9,104.3,176.5,220.1,162.0,**,**,**
OUANGOLODOUGOU,0.0,0.0,**,**,**,**,**,**,**,**,**,**
OUARGAYE,0.0,**,**,**,**,**,**,**,**,**,**,**
OUARKOYE,0.0,**,**,**,**,**,**,**,**,**,**,**
PAMA,0.0,0.0,16.6,**,**,**,**,**,**,**,**,**
PIELA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
PO,0.0,0.0,23.1,104.4,29.8,102.6,234.3,259.8,124.1,**,**,**
POBE,0.0,**,0.0,**,**,**,**,**,**,**,**,**
SAMOROGOUAN,0.0,**,**,**,**,**,**,**,**,**,**,**
SANGHA,0.0,0.0,50.5,**,**,117.2,223.2,**,**,**,**,**
SAPONE,0.0,**,9.7,**,**,**,**,**,**,**,**,**
SEBBA,0.0,**,9.3,**,**,**,**,**,**,**,**,**
SEGUENEGA,0.0,**,0.0,**,**,**,**,**,**,**,**,**
SIDERADOUGOU,**,**,21.1,**,**,**,**,**,**,**,**,**
SINDOU,0.0,0.0,47.1,**,**,**,**,**,**,**,**,**
SOLENZO,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
SOUBAKANIEDOUG,0.0,0.0,23.9,**,**,**,**,**,**,**,**,**
SOUROU-GASSAN,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
TANGHIN DASSOU,0.0,**,0.4,**,**,**,**,**,**,**,**,**
TANSILA,0.0,0.0,**,**,**,**,**,**,**,**,**,**
TEMA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
TIEBELE,0.0,0.0,62.0,**,**,**,**,**,**,**,**,**
TIOGO,0.0,**,**,**,**,**,**,**,**,**,**,**
TIOU-OUAHIGOUY,0.0,**,0.0,**,**,**,**,**,**,**,**,**
TOECE,0.0,0.0,7.6,**,**,**,236.2,**,**,**,**,**
TOENI,0.0,**,**,**,**,**,**,**,**,**,**,**
TOMA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
VALLEE DU KOU,0.0,0.0,0.0,87.2,98.5,153.2,203.9,313.6,113.8,**,**,**
WONA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
YAMBA,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
ZORGHO,0.0,0.0,0.0,**,**,**,**,**,**,**,**,**
